"","Location","Occupation","Year","Injuries","OccAbbrev"
"2501","  Kawerau district","Plant and machine operators and assemblers","2005",195,"Pla"
"2502","  Opotiki district","Plant and machine operators and assemblers","2005",45,"Pla"
"2503","  Gisborne district","Plant and machine operators and assemblers","2005",582,"Pla"
"2504","  Wairoa district","Plant and machine operators and assemblers","2005",255,"Pla"
"2505","  Hastings district","Plant and machine operators and assemblers","2005",1464,"Pla"
"2506","  Napier city","Plant and machine operators and assemblers","2005",741,"Pla"
"2507","  Central Hawke's Bay district","Plant and machine operators and assemblers","2005",279,"Pla"
"2508","  New Plymouth district","Plant and machine operators and assemblers","2005",702,"Pla"
"2509","  Stratford district","Plant and machine operators and assemblers","2005",102,"Pla"
"2510","  South Taranaki district","Plant and machine operators and assemblers","2005",738,"Pla"
"2511","  Ruapehu district","Plant and machine operators and assemblers","2005",171,"Pla"
"2512","  Whanganui district","Plant and machine operators and assemblers","2005",741,"Pla"
"2513","  Rangitikei district","Plant and machine operators and assemblers","2005",117,"Pla"
"2514","  Manawatu district","Plant and machine operators and assemblers","2005",543,"Pla"
"2515","  Palmerston North city","Plant and machine operators and assemblers","2005",975,"Pla"
"2516","  Tararua district","Plant and machine operators and assemblers","2005",240,"Pla"
"2517","  Horowhenua district","Plant and machine operators and assemblers","2005",372,"Pla"
"2518","  Kapiti Coast district","Plant and machine operators and assemblers","2005",201,"Pla"
"2519","  Porirua city","Plant and machine operators and assemblers","2005",243,"Pla"
"2520","  Upper Hutt city","Plant and machine operators and assemblers","2005",273,"Pla"
"2521","  Lower Hutt city","Plant and machine operators and assemblers","2005",678,"Pla"
"2522","  Wellington city","Plant and machine operators and assemblers","2005",1176,"Pla"
"2523","  Masterton district","Plant and machine operators and assemblers","2005",345,"Pla"
"2524","  Carterton district","Plant and machine operators and assemblers","2005",60,"Pla"
"2525","  South Wairarapa district","Plant and machine operators and assemblers","2005",72,"Pla"
"2526","  Tasman district","Plant and machine operators and assemblers","2005",399,"Pla"
"2527","  Nelson city","Plant and machine operators and assemblers","2005",819,"Pla"
"2528","  Marlborough district","Plant and machine operators and assemblers","2005",699,"Pla"
"2529","  Kaikoura district","Plant and machine operators and assemblers","2005",48,"Pla"
"2530","  Buller district","Plant and machine operators and assemblers","2005",99,"Pla"
"2531","  Grey district","Plant and machine operators and assemblers","2005",297,"Pla"
"2532","  Westland district","Plant and machine operators and assemblers","2005",141,"Pla"
"2533","  Hurunui district","Plant and machine operators and assemblers","2005",102,"Pla"
"2534","  Waimakariri district","Plant and machine operators and assemblers","2005",282,"Pla"
"2535","  Christchurch city","Plant and machine operators and assemblers","2005",4680,"Pla"
"2536","  Selwyn district","Plant and machine operators and assemblers","2005",159,"Pla"
"2537","  Ashburton district","Plant and machine operators and assemblers","2005",741,"Pla"
"2538","  Timaru district","Plant and machine operators and assemblers","2005",873,"Pla"
"2539","  Mackenzie district","Plant and machine operators and assemblers","2005",54,"Pla"
"2540","  Waimate district","Plant and machine operators and assemblers","2005",51,"Pla"
"2541","  Chatham Islands territory","Plant and machine operators and assemblers","2005",9,"Pla"
"2542","  Waitaki district","Plant and machine operators and assemblers","2005",729,"Pla"
"2543","  Central Otago district","Plant and machine operators and assemblers","2005",231,"Pla"
"2544","  Queenstown-Lakes district","Plant and machine operators and assemblers","2005",339,"Pla"
"2545","  Dunedin city","Plant and machine operators and assemblers","2005",1185,"Pla"
"2546","  Clutha district","Plant and machine operators and assemblers","2005",294,"Pla"
"2547","  Southland district","Plant and machine operators and assemblers","2005",936,"Pla"
"2548","  Gore district","Plant and machine operators and assemblers","2005",177,"Pla"
"2549","  Invercargill city","Plant and machine operators and assemblers","2005",1293,"Pla"
"2550","  Overseas","Plant and machine operators and assemblers","2005",NA,"Pla"
"2551","  In the air - NZ","Plant and machine operators and assemblers","2005",NA,"Pla"
"2552","  In NZ waters","Plant and machine operators and assemblers","2005",21,"Pla"
"2553","  At sea, not in NZ waters","Plant and machine operators and assemblers","2005",NA,"Pla"
"2554","  In the air - overseas","Plant and machine operators and assemblers","2005",NA,"Pla"
"2555","  Not specified","Plant and machine operators and assemblers","2005",528,"Pla"
"2556","  Far North district","Elementary occupations","2005",387,"Ele"
"2557","  Whangarei district","Elementary occupations","2005",576,"Ele"
"2558","  Kaipara district","Elementary occupations","2005",84,"Ele"
"2559","  Auckland city","Elementary occupations","2005",9678,"Ele"
"2560","  Thames-Coromandel district","Elementary occupations","2005",240,"Ele"
"2561","  Hauraki district","Elementary occupations","2005",102,"Ele"
"2562","  Waikato district","Elementary occupations","2005",336,"Ele"
"2563","  Matamata-Piako district","Elementary occupations","2005",186,"Ele"
"2564","  Hamilton city","Elementary occupations","2005",1200,"Ele"
"2565","  Waipa district","Elementary occupations","2005",132,"Ele"
"2566","  Otorohanga district","Elementary occupations","2005",57,"Ele"
"2567","  South Waikato district","Elementary occupations","2005",168,"Ele"
"2568","  Waitomo district","Elementary occupations","2005",69,"Ele"
"2569","  Taupo district","Elementary occupations","2005",279,"Ele"
"2570","  Western Bay of Plenty district","Elementary occupations","2005",72,"Ele"
"2571","  Tauranga city","Elementary occupations","2005",1356,"Ele"
"2572","  Rotorua district","Elementary occupations","2005",573,"Ele"
"2573","  Whakatane district","Elementary occupations","2005",156,"Ele"
"2574","  Kawerau district","Elementary occupations","2005",78,"Ele"
"2575","  Opotiki district","Elementary occupations","2005",33,"Ele"
"2576","  Gisborne district","Elementary occupations","2005",492,"Ele"
"2577","  Wairoa district","Elementary occupations","2005",75,"Ele"
"2578","  Hastings district","Elementary occupations","2005",864,"Ele"
"2579","  Napier city","Elementary occupations","2005",585,"Ele"
"2580","  Central Hawke's Bay district","Elementary occupations","2005",117,"Ele"
"2581","  New Plymouth district","Elementary occupations","2005",546,"Ele"
"2582","  Stratford district","Elementary occupations","2005",48,"Ele"
"2583","  South Taranaki district","Elementary occupations","2005",237,"Ele"
"2584","  Ruapehu district","Elementary occupations","2005",99,"Ele"
"2585","  Whanganui district","Elementary occupations","2005",426,"Ele"
"2586","  Rangitikei district","Elementary occupations","2005",54,"Ele"
"2587","  Manawatu district","Elementary occupations","2005",171,"Ele"
"2588","  Palmerston North city","Elementary occupations","2005",759,"Ele"
"2589","  Tararua district","Elementary occupations","2005",66,"Ele"
"2590","  Horowhenua district","Elementary occupations","2005",144,"Ele"
"2591","  Kapiti Coast district","Elementary occupations","2005",108,"Ele"
"2592","  Porirua city","Elementary occupations","2005",189,"Ele"
"2593","  Upper Hutt city","Elementary occupations","2005",150,"Ele"
"2594","  Lower Hutt city","Elementary occupations","2005",453,"Ele"
"2595","  Wellington city","Elementary occupations","2005",1152,"Ele"
"2596","  Masterton district","Elementary occupations","2005",186,"Ele"
"2597","  Carterton district","Elementary occupations","2005",33,"Ele"
"2598","  South Wairarapa district","Elementary occupations","2005",33,"Ele"
"2599","  Tasman district","Elementary occupations","2005",201,"Ele"
"2600","  Nelson city","Elementary occupations","2005",486,"Ele"
"2601","  Marlborough district","Elementary occupations","2005",465,"Ele"
"2602","  Kaikoura district","Elementary occupations","2005",33,"Ele"
"2603","  Buller district","Elementary occupations","2005",51,"Ele"
"2604","  Grey district","Elementary occupations","2005",153,"Ele"
"2605","  Westland district","Elementary occupations","2005",87,"Ele"
"2606","  Hurunui district","Elementary occupations","2005",48,"Ele"
"2607","  Waimakariri district","Elementary occupations","2005",285,"Ele"
"2608","  Christchurch city","Elementary occupations","2005",3981,"Ele"
"2609","  Selwyn district","Elementary occupations","2005",120,"Ele"
"2610","  Ashburton district","Elementary occupations","2005",390,"Ele"
"2611","  Timaru district","Elementary occupations","2005",642,"Ele"
"2612","  Mackenzie district","Elementary occupations","2005",21,"Ele"
"2613","  Waimate district","Elementary occupations","2005",24,"Ele"
"2614","  Chatham Islands territory","Elementary occupations","2005",6,"Ele"
"2615","  Waitaki district","Elementary occupations","2005",183,"Ele"
"2616","  Central Otago district","Elementary occupations","2005",171,"Ele"
"2617","  Queenstown-Lakes district","Elementary occupations","2005",258,"Ele"
"2618","  Dunedin city","Elementary occupations","2005",1107,"Ele"
"2619","  Clutha district","Elementary occupations","2005",261,"Ele"
"2620","  Southland district","Elementary occupations","2005",210,"Ele"
"2621","  Gore district","Elementary occupations","2005",129,"Ele"
"2622","  Invercargill city","Elementary occupations","2005",405,"Ele"
"2623","  Overseas","Elementary occupations","2005",NA,"Ele"
"2624","  In the air - NZ","Elementary occupations","2005",NA,"Ele"
"2625","  In NZ waters","Elementary occupations","2005",NA,"Ele"
"2626","  At sea, not in NZ waters","Elementary occupations","2005",NA,"Ele"
"2627","  In the air - overseas","Elementary occupations","2005",NA,"Ele"
"2628","  Not specified","Elementary occupations","2005",351,"Ele"
"2629","  Far North district","Legislators administrators and managers","2006",168,"Leg"
"2630","  Whangarei district","Legislators administrators and managers","2006",261,"Leg"
"2631","  Kaipara district","Legislators administrators and managers","2006",30,"Leg"
"2632","  Auckland city","Legislators administrators and managers","2006",4461,"Leg"
"2633","  Thames-Coromandel district","Legislators administrators and managers","2006",87,"Leg"
"2634","  Hauraki district","Legislators administrators and managers","2006",21,"Leg"
"2635","  Waikato district","Legislators administrators and managers","2006",111,"Leg"
"2636","  Matamata-Piako district","Legislators administrators and managers","2006",60,"Leg"
"2637","  Hamilton city","Legislators administrators and managers","2006",483,"Leg"
"2638","  Waipa district","Legislators administrators and managers","2006",96,"Leg"
"2639","  Otorohanga district","Legislators administrators and managers","2006",24,"Leg"
"2640","  South Waikato district","Legislators administrators and managers","2006",45,"Leg"
"2641","  Waitomo district","Legislators administrators and managers","2006",42,"Leg"
"2642","  Taupo district","Legislators administrators and managers","2006",141,"Leg"
"2643","  Western Bay of Plenty district","Legislators administrators and managers","2006",21,"Leg"
"2644","  Tauranga city","Legislators administrators and managers","2006",504,"Leg"
"2645","  Rotorua district","Legislators administrators and managers","2006",246,"Leg"
"2646","  Whakatane district","Legislators administrators and managers","2006",75,"Leg"
"2647","  Kawerau district","Legislators administrators and managers","2006",9,"Leg"
"2648","  Opotiki district","Legislators administrators and managers","2006",9,"Leg"
"2649","  Gisborne district","Legislators administrators and managers","2006",117,"Leg"
"2650","  Wairoa district","Legislators administrators and managers","2006",21,"Leg"
"2651","  Hastings district","Legislators administrators and managers","2006",258,"Leg"
"2652","  Napier city","Legislators administrators and managers","2006",210,"Leg"
"2653","  Central Hawke's Bay district","Legislators administrators and managers","2006",30,"Leg"
"2654","  New Plymouth district","Legislators administrators and managers","2006",201,"Leg"
"2655","  Stratford district","Legislators administrators and managers","2006",24,"Leg"
"2656","  South Taranaki district","Legislators administrators and managers","2006",45,"Leg"
"2657","  Ruapehu district","Legislators administrators and managers","2006",33,"Leg"
"2658","  Whanganui district","Legislators administrators and managers","2006",117,"Leg"
"2659","  Rangitikei district","Legislators administrators and managers","2006",18,"Leg"
"2660","  Manawatu district","Legislators administrators and managers","2006",45,"Leg"
"2661","  Palmerston North city","Legislators administrators and managers","2006",249,"Leg"
"2662","  Tararua district","Legislators administrators and managers","2006",24,"Leg"
"2663","  Horowhenua district","Legislators administrators and managers","2006",60,"Leg"
"2664","  Kapiti Coast district","Legislators administrators and managers","2006",69,"Leg"
"2665","  Porirua city","Legislators administrators and managers","2006",60,"Leg"
"2666","  Upper Hutt city","Legislators administrators and managers","2006",66,"Leg"
"2667","  Lower Hutt city","Legislators administrators and managers","2006",231,"Leg"
"2668","  Wellington city","Legislators administrators and managers","2006",606,"Leg"
"2669","  Masterton district","Legislators administrators and managers","2006",75,"Leg"
"2670","  Carterton district","Legislators administrators and managers","2006",15,"Leg"
"2671","  South Wairarapa district","Legislators administrators and managers","2006",27,"Leg"
"2672","  Tasman district","Legislators administrators and managers","2006",93,"Leg"
"2673","  Nelson city","Legislators administrators and managers","2006",195,"Leg"
"2674","  Marlborough district","Legislators administrators and managers","2006",210,"Leg"
"2675","  Kaikoura district","Legislators administrators and managers","2006",39,"Leg"
"2676","  Buller district","Legislators administrators and managers","2006",24,"Leg"
"2677","  Grey district","Legislators administrators and managers","2006",51,"Leg"
"2678","  Westland district","Legislators administrators and managers","2006",33,"Leg"
"2679","  Hurunui district","Legislators administrators and managers","2006",33,"Leg"
"2680","  Waimakariri district","Legislators administrators and managers","2006",60,"Leg"
"2681","  Christchurch city","Legislators administrators and managers","2006",1326,"Leg"
"2682","  Selwyn district","Legislators administrators and managers","2006",30,"Leg"
"2683","  Ashburton district","Legislators administrators and managers","2006",90,"Leg"
"2684","  Timaru district","Legislators administrators and managers","2006",147,"Leg"
"2685","  Mackenzie district","Legislators administrators and managers","2006",18,"Leg"
"2686","  Waimate district","Legislators administrators and managers","2006",18,"Leg"
"2687","  Chatham Islands territory","Legislators administrators and managers","2006",NA,"Leg"
"2688","  Waitaki district","Legislators administrators and managers","2006",54,"Leg"
"2689","  Central Otago district","Legislators administrators and managers","2006",99,"Leg"
"2690","  Queenstown-Lakes district","Legislators administrators and managers","2006",198,"Leg"
"2691","  Dunedin city","Legislators administrators and managers","2006",321,"Leg"
"2692","  Clutha district","Legislators administrators and managers","2006",39,"Leg"
"2693","  Southland district","Legislators administrators and managers","2006",84,"Leg"
"2694","  Gore district","Legislators administrators and managers","2006",54,"Leg"
"2695","  Invercargill city","Legislators administrators and managers","2006",138,"Leg"
"2696","  Overseas","Legislators administrators and managers","2006",12,"Leg"
"2697","  In the air - NZ","Legislators administrators and managers","2006",NA,"Leg"
"2698","  In NZ waters","Legislators administrators and managers","2006",NA,"Leg"
"2699","  At sea, not in NZ waters","Legislators administrators and managers","2006",NA,"Leg"
"2700","  In the air - overseas","Legislators administrators and managers","2006",NA,"Leg"
"2701","  Not specified","Legislators administrators and managers","2006",69,"Leg"
"2702","  Far North district","Professionals","2006",204,"Pro"
"2703","  Whangarei district","Professionals","2006",468,"Pro"
"2704","  Kaipara district","Professionals","2006",39,"Pro"
"2705","  Auckland city","Professionals","2006",5451,"Pro"
"2706","  Thames-Coromandel district","Professionals","2006",129,"Pro"
"2707","  Hauraki district","Professionals","2006",48,"Pro"
"2708","  Waikato district","Professionals","2006",183,"Pro"
"2709","  Matamata-Piako district","Professionals","2006",90,"Pro"
"2710","  Hamilton city","Professionals","2006",855,"Pro"
"2711","  Waipa district","Professionals","2006",123,"Pro"
"2712","  Otorohanga district","Professionals","2006",54,"Pro"
"2713","  South Waikato district","Professionals","2006",93,"Pro"
"2714","  Waitomo district","Professionals","2006",51,"Pro"
"2715","  Taupo district","Professionals","2006",129,"Pro"
"2716","  Western Bay of Plenty district","Professionals","2006",36,"Pro"
"2717","  Tauranga city","Professionals","2006",681,"Pro"
"2718","  Rotorua district","Professionals","2006",429,"Pro"
"2719","  Whakatane district","Professionals","2006",141,"Pro"
"2720","  Kawerau district","Professionals","2006",33,"Pro"
"2721","  Opotiki district","Professionals","2006",21,"Pro"
"2722","  Gisborne district","Professionals","2006",207,"Pro"
"2723","  Wairoa district","Professionals","2006",21,"Pro"
"2724","  Hastings district","Professionals","2006",441,"Pro"
"2725","  Napier city","Professionals","2006",261,"Pro"
"2726","  Central Hawke's Bay district","Professionals","2006",48,"Pro"
"2727","  New Plymouth district","Professionals","2006",303,"Pro"
"2728","  Stratford district","Professionals","2006",30,"Pro"
"2729","  South Taranaki district","Professionals","2006",84,"Pro"
"2730","  Ruapehu district","Professionals","2006",51,"Pro"
"2731","  Whanganui district","Professionals","2006",168,"Pro"
"2732","  Rangitikei district","Professionals","2006",27,"Pro"
"2733","  Manawatu district","Professionals","2006",60,"Pro"
"2734","  Palmerston North city","Professionals","2006",384,"Pro"
"2735","  Tararua district","Professionals","2006",54,"Pro"
"2736","  Horowhenua district","Professionals","2006",48,"Pro"
"2737","  Kapiti Coast district","Professionals","2006",78,"Pro"
"2738","  Porirua city","Professionals","2006",108,"Pro"
"2739","  Upper Hutt city","Professionals","2006",114,"Pro"
"2740","  Lower Hutt city","Professionals","2006",303,"Pro"
"2741","  Wellington city","Professionals","2006",693,"Pro"
"2742","  Masterton district","Professionals","2006",117,"Pro"
"2743","  Carterton district","Professionals","2006",6,"Pro"
"2744","  South Wairarapa district","Professionals","2006",21,"Pro"
"2745","  Tasman district","Professionals","2006",117,"Pro"
"2746","  Nelson city","Professionals","2006",315,"Pro"
"2747","  Marlborough district","Professionals","2006",210,"Pro"
"2748","  Kaikoura district","Professionals","2006",12,"Pro"
"2749","  Buller district","Professionals","2006",45,"Pro"
"2750","  Grey district","Professionals","2006",75,"Pro"
"2751","  Westland district","Professionals","2006",51,"Pro"
"2752","  Hurunui district","Professionals","2006",33,"Pro"
"2753","  Waimakariri district","Professionals","2006",78,"Pro"
"2754","  Christchurch city","Professionals","2006",1554,"Pro"
"2755","  Selwyn district","Professionals","2006",75,"Pro"
"2756","  Ashburton district","Professionals","2006",165,"Pro"
"2757","  Timaru district","Professionals","2006",237,"Pro"
"2758","  Mackenzie district","Professionals","2006",6,"Pro"
"2759","  Waimate district","Professionals","2006",33,"Pro"
"2760","  Chatham Islands territory","Professionals","2006",9,"Pro"
"2761","  Waitaki district","Professionals","2006",84,"Pro"
"2762","  Central Otago district","Professionals","2006",84,"Pro"
"2763","  Queenstown-Lakes district","Professionals","2006",117,"Pro"
"2764","  Dunedin city","Professionals","2006",525,"Pro"
"2765","  Clutha district","Professionals","2006",72,"Pro"
"2766","  Southland district","Professionals","2006",162,"Pro"
"2767","  Gore district","Professionals","2006",48,"Pro"
"2768","  Invercargill city","Professionals","2006",219,"Pro"
"2769","  Overseas","Professionals","2006",9,"Pro"
"2770","  In the air - NZ","Professionals","2006",NA,"Pro"
"2771","  In NZ waters","Professionals","2006",6,"Pro"
"2772","  At sea, not in NZ waters","Professionals","2006",NA,"Pro"
"2773","  In the air - overseas","Professionals","2006",NA,"Pro"
"2774","  Not specified","Professionals","2006",114,"Pro"
"2775","  Far North district","Technicians and associate professionals","2006",168,"Tec"
"2776","  Whangarei district","Technicians and associate professionals","2006",408,"Tec"
"2777","  Kaipara district","Technicians and associate professionals","2006",33,"Tec"
"2778","  Auckland city","Technicians and associate professionals","2006",5430,"Tec"
"2779","  Thames-Coromandel district","Technicians and associate professionals","2006",123,"Tec"
"2780","  Hauraki district","Technicians and associate professionals","2006",36,"Tec"
"2781","  Waikato district","Technicians and associate professionals","2006",147,"Tec"
"2782","  Matamata-Piako district","Technicians and associate professionals","2006",66,"Tec"
"2783","  Hamilton city","Technicians and associate professionals","2006",780,"Tec"
"2784","  Waipa district","Technicians and associate professionals","2006",96,"Tec"
"2785","  Otorohanga district","Technicians and associate professionals","2006",27,"Tec"
"2786","  South Waikato district","Technicians and associate professionals","2006",60,"Tec"
"2787","  Waitomo district","Technicians and associate professionals","2006",33,"Tec"
"2788","  Taupo district","Technicians and associate professionals","2006",105,"Tec"
"2789","  Western Bay of Plenty district","Technicians and associate professionals","2006",21,"Tec"
"2790","  Tauranga city","Technicians and associate professionals","2006",567,"Tec"
"2791","  Rotorua district","Technicians and associate professionals","2006",267,"Tec"
"2792","  Whakatane district","Technicians and associate professionals","2006",81,"Tec"
"2793","  Kawerau district","Technicians and associate professionals","2006",24,"Tec"
"2794","  Opotiki district","Technicians and associate professionals","2006",9,"Tec"
"2795","  Gisborne district","Technicians and associate professionals","2006",156,"Tec"
"2796","  Wairoa district","Technicians and associate professionals","2006",18,"Tec"
"2797","  Hastings district","Technicians and associate professionals","2006",246,"Tec"
"2798","  Napier city","Technicians and associate professionals","2006",267,"Tec"
"2799","  Central Hawke's Bay district","Technicians and associate professionals","2006",39,"Tec"
"2800","  New Plymouth district","Technicians and associate professionals","2006",327,"Tec"
"2801","  Stratford district","Technicians and associate professionals","2006",21,"Tec"
"2802","  South Taranaki district","Technicians and associate professionals","2006",69,"Tec"
"2803","  Ruapehu district","Technicians and associate professionals","2006",54,"Tec"
"2804","  Whanganui district","Technicians and associate professionals","2006",153,"Tec"
"2805","  Rangitikei district","Technicians and associate professionals","2006",27,"Tec"
"2806","  Manawatu district","Technicians and associate professionals","2006",84,"Tec"
"2807","  Palmerston North city","Technicians and associate professionals","2006",366,"Tec"
"2808","  Tararua district","Technicians and associate professionals","2006",33,"Tec"
"2809","  Horowhenua district","Technicians and associate professionals","2006",48,"Tec"
"2810","  Kapiti Coast district","Technicians and associate professionals","2006",72,"Tec"
"2811","  Porirua city","Technicians and associate professionals","2006",90,"Tec"
"2812","  Upper Hutt city","Technicians and associate professionals","2006",105,"Tec"
"2813","  Lower Hutt city","Technicians and associate professionals","2006",270,"Tec"
"2814","  Wellington city","Technicians and associate professionals","2006",927,"Tec"
"2815","  Masterton district","Technicians and associate professionals","2006",78,"Tec"
"2816","  Carterton district","Technicians and associate professionals","2006",12,"Tec"
"2817","  South Wairarapa district","Technicians and associate professionals","2006",9,"Tec"
"2818","  Tasman district","Technicians and associate professionals","2006",93,"Tec"
"2819","  Nelson city","Technicians and associate professionals","2006",312,"Tec"
"2820","  Marlborough district","Technicians and associate professionals","2006",210,"Tec"
"2821","  Kaikoura district","Technicians and associate professionals","2006",12,"Tec"
"2822","  Buller district","Technicians and associate professionals","2006",27,"Tec"
"2823","  Grey district","Technicians and associate professionals","2006",36,"Tec"
"2824","  Westland district","Technicians and associate professionals","2006",36,"Tec"
"2825","  Hurunui district","Technicians and associate professionals","2006",27,"Tec"
"2826","  Waimakariri district","Technicians and associate professionals","2006",60,"Tec"
"2827","  Christchurch city","Technicians and associate professionals","2006",1545,"Tec"
"2828","  Selwyn district","Technicians and associate professionals","2006",57,"Tec"
"2829","  Ashburton district","Technicians and associate professionals","2006",93,"Tec"
"2830","  Timaru district","Technicians and associate professionals","2006",165,"Tec"
"2831","  Mackenzie district","Technicians and associate professionals","2006",12,"Tec"
"2832","  Waimate district","Technicians and associate professionals","2006",9,"Tec"
"2833","  Chatham Islands territory","Technicians and associate professionals","2006",NA,"Tec"
"2834","  Waitaki district","Technicians and associate professionals","2006",66,"Tec"
"2835","  Central Otago district","Technicians and associate professionals","2006",60,"Tec"
"2836","  Queenstown-Lakes district","Technicians and associate professionals","2006",255,"Tec"
"2837","  Dunedin city","Technicians and associate professionals","2006",669,"Tec"
"2838","  Clutha district","Technicians and associate professionals","2006",42,"Tec"
"2839","  Southland district","Technicians and associate professionals","2006",135,"Tec"
"2840","  Gore district","Technicians and associate professionals","2006",45,"Tec"
"2841","  Invercargill city","Technicians and associate professionals","2006",273,"Tec"
"2842","  Overseas","Technicians and associate professionals","2006",222,"Tec"
"2843","  In the air - NZ","Technicians and associate professionals","2006",6,"Tec"
"2844","  In NZ waters","Technicians and associate professionals","2006",18,"Tec"
"2845","  At sea, not in NZ waters","Technicians and associate professionals","2006",NA,"Tec"
"2846","  In the air - overseas","Technicians and associate professionals","2006",NA,"Tec"
"2847","  Not specified","Technicians and associate professionals","2006",153,"Tec"
"2848","  Far North district","Clerks","2006",66,"Cle"
"2849","  Whangarei district","Clerks","2006",156,"Cle"
"2850","  Kaipara district","Clerks","2006",15,"Cle"
"2851","  Auckland city","Clerks","2006",3858,"Cle"
"2852","  Thames-Coromandel district","Clerks","2006",60,"Cle"
"2853","  Hauraki district","Clerks","2006",24,"Cle"
"2854","  Waikato district","Clerks","2006",60,"Cle"
"2855","  Matamata-Piako district","Clerks","2006",21,"Cle"
"2856","  Hamilton city","Clerks","2006",366,"Cle"
"2857","  Waipa district","Clerks","2006",39,"Cle"
"2858","  Otorohanga district","Clerks","2006",12,"Cle"
"2859","  South Waikato district","Clerks","2006",21,"Cle"
"2860","  Waitomo district","Clerks","2006",15,"Cle"
"2861","  Taupo district","Clerks","2006",66,"Cle"
"2862","  Western Bay of Plenty district","Clerks","2006",15,"Cle"
"2863","  Tauranga city","Clerks","2006",369,"Cle"
"2864","  Rotorua district","Clerks","2006",135,"Cle"
"2865","  Whakatane district","Clerks","2006",54,"Cle"
"2866","  Kawerau district","Clerks","2006",12,"Cle"
"2867","  Opotiki district","Clerks","2006",6,"Cle"
"2868","  Gisborne district","Clerks","2006",69,"Cle"
"2869","  Wairoa district","Clerks","2006",15,"Cle"
"2870","  Hastings district","Clerks","2006",147,"Cle"
"2871","  Napier city","Clerks","2006",129,"Cle"
"2872","  Central Hawke's Bay district","Clerks","2006",15,"Cle"
"2873","  New Plymouth district","Clerks","2006",123,"Cle"
"2874","  Stratford district","Clerks","2006",15,"Cle"
"2875","  South Taranaki district","Clerks","2006",30,"Cle"
"2876","  Ruapehu district","Clerks","2006",18,"Cle"
"2877","  Whanganui district","Clerks","2006",75,"Cle"
"2878","  Rangitikei district","Clerks","2006",18,"Cle"
"2879","  Manawatu district","Clerks","2006",48,"Cle"
"2880","  Palmerston North city","Clerks","2006",237,"Cle"
"2881","  Tararua district","Clerks","2006",15,"Cle"
"2882","  Horowhenua district","Clerks","2006",33,"Cle"
"2883","  Kapiti Coast district","Clerks","2006",33,"Cle"
"2884","  Porirua city","Clerks","2006",78,"Cle"
"2885","  Upper Hutt city","Clerks","2006",63,"Cle"
"2886","  Lower Hutt city","Clerks","2006",228,"Cle"
"2887","  Wellington city","Clerks","2006",438,"Cle"
"2888","  Masterton district","Clerks","2006",54,"Cle"
"2889","  Carterton district","Clerks","2006",9,"Cle"
"2890","  South Wairarapa district","Clerks","2006",9,"Cle"
"2891","  Tasman district","Clerks","2006",30,"Cle"
"2892","  Nelson city","Clerks","2006",135,"Cle"
"2893","  Marlborough district","Clerks","2006",81,"Cle"
"2894","  Kaikoura district","Clerks","2006",6,"Cle"
"2895","  Buller district","Clerks","2006",6,"Cle"
"2896","  Grey district","Clerks","2006",24,"Cle"
"2897","  Westland district","Clerks","2006",12,"Cle"
"2898","  Hurunui district","Clerks","2006",9,"Cle"
"2899","  Waimakariri district","Clerks","2006",30,"Cle"
"2900","  Christchurch city","Clerks","2006",1053,"Cle"
"2901","  Selwyn district","Clerks","2006",15,"Cle"
"2902","  Ashburton district","Clerks","2006",54,"Cle"
"2903","  Timaru district","Clerks","2006",72,"Cle"
"2904","  Mackenzie district","Clerks","2006",NA,"Cle"
"2905","  Waimate district","Clerks","2006",12,"Cle"
"2906","  Chatham Islands territory","Clerks","2006",NA,"Cle"
"2907","  Waitaki district","Clerks","2006",39,"Cle"
"2908","  Central Otago district","Clerks","2006",39,"Cle"
"2909","  Queenstown-Lakes district","Clerks","2006",69,"Cle"
"2910","  Dunedin city","Clerks","2006",252,"Cle"
"2911","  Clutha district","Clerks","2006",12,"Cle"
"2912","  Southland district","Clerks","2006",33,"Cle"
"2913","  Gore district","Clerks","2006",21,"Cle"
"2914","  Invercargill city","Clerks","2006",114,"Cle"
"2915","  Overseas","Clerks","2006",NA,"Cle"
"2916","  In the air - NZ","Clerks","2006",NA,"Cle"
"2917","  In NZ waters","Clerks","2006",NA,"Cle"
"2918","  At sea, not in NZ waters","Clerks","2006",NA,"Cle"
"2919","  In the air - overseas","Clerks","2006",NA,"Cle"
"2920","  Not specified","Clerks","2006",93,"Cle"
"2921","  Far North district","Service and sales workers","2006",321,"Ser"
"2922","  Whangarei district","Service and sales workers","2006",501,"Ser"
"2923","  Kaipara district","Service and sales workers","2006",48,"Ser"
"2924","  Auckland city","Service and sales workers","2006",7323,"Ser"
"2925","  Thames-Coromandel district","Service and sales workers","2006",201,"Ser"
"2926","  Hauraki district","Service and sales workers","2006",54,"Ser"
"2927","  Waikato district","Service and sales workers","2006",195,"Ser"
"2928","  Matamata-Piako district","Service and sales workers","2006",114,"Ser"
"2929","  Hamilton city","Service and sales workers","2006",978,"Ser"
"2930","  Waipa district","Service and sales workers","2006",183,"Ser"
"2931","  Otorohanga district","Service and sales workers","2006",27,"Ser"
"2932","  South Waikato district","Service and sales workers","2006",87,"Ser"
"2933","  Waitomo district","Service and sales workers","2006",66,"Ser"
"2934","  Taupo district","Service and sales workers","2006",285,"Ser"
"2935","  Western Bay of Plenty district","Service and sales workers","2006",39,"Ser"
