"","Location","Occupation","Year","Injuries","OccAbbrev"
"86","  Waitomo district","Professionals","2002",30,"Pro"
"87","  Taupo district","Professionals","2002",177,"Pro"
"88","  Western Bay of Plenty district","Professionals","2002",42,"Pro"
"89","  Tauranga city","Professionals","2002",702,"Pro"
"90","  Rotorua district","Professionals","2002",393,"Pro"
"91","  Whakatane district","Professionals","2002",153,"Pro"
"92","  Kawerau district","Professionals","2002",30,"Pro"
"93","  Opotiki district","Professionals","2002",39,"Pro"
"94","  Gisborne district","Professionals","2002",300,"Pro"
"95","  Wairoa district","Professionals","2002",18,"Pro"
"96","  Hastings district","Professionals","2002",429,"Pro"
"97","  Napier city","Professionals","2002",327,"Pro"
"98","  Central Hawke's Bay district","Professionals","2002",48,"Pro"
"99","  New Plymouth district","Professionals","2002",363,"Pro"
"100","  Stratford district","Professionals","2002",51,"Pro"
"101","  South Taranaki district","Professionals","2002",114,"Pro"
"102","  Ruapehu district","Professionals","2002",51,"Pro"
"103","  Whanganui district","Professionals","2002",222,"Pro"
"104","  Rangitikei district","Professionals","2002",18,"Pro"
"105","  Manawatu district","Professionals","2002",96,"Pro"
"106","  Palmerston North city","Professionals","2002",570,"Pro"
"107","  Tararua district","Professionals","2002",63,"Pro"
"108","  Horowhenua district","Professionals","2002",108,"Pro"
"109","  Kapiti Coast district","Professionals","2002",60,"Pro"
"110","  Porirua city","Professionals","2002",150,"Pro"
"111","  Upper Hutt city","Professionals","2002",129,"Pro"
"112","  Lower Hutt city","Professionals","2002",363,"Pro"
"113","  Wellington city","Professionals","2002",1026,"Pro"
"114","  Masterton district","Professionals","2002",135,"Pro"
"115","  Carterton district","Professionals","2002",15,"Pro"
"116","  South Wairarapa district","Professionals","2002",15,"Pro"
"117","  Tasman district","Professionals","2002",90,"Pro"
"118","  Nelson city","Professionals","2002",444,"Pro"
"119","  Marlborough district","Professionals","2002",267,"Pro"
"120","  Kaikoura district","Professionals","2002",21,"Pro"
"121","  Buller district","Professionals","2002",21,"Pro"
"122","  Grey district","Professionals","2002",66,"Pro"
"123","  Westland district","Professionals","2002",75,"Pro"
"124","  Hurunui district","Professionals","2002",51,"Pro"
"125","  Waimakariri district","Professionals","2002",87,"Pro"
"126","  Christchurch city","Professionals","2002",2112,"Pro"
"127","  Selwyn district","Professionals","2002",63,"Pro"
"128","  Ashburton district","Professionals","2002",195,"Pro"
"129","  Timaru district","Professionals","2002",249,"Pro"
"130","  Mackenzie district","Professionals","2002",21,"Pro"
"131","  Waimate district","Professionals","2002",21,"Pro"
"132","  Chatham Islands territory","Professionals","2002",6,"Pro"
"133","  Waitaki district","Professionals","2002",69,"Pro"
"134","  Central Otago district","Professionals","2002",84,"Pro"
"135","  Queenstown-Lakes district","Professionals","2002",126,"Pro"
"136","  Dunedin city","Professionals","2002",573,"Pro"
"137","  Clutha district","Professionals","2002",48,"Pro"
"138","  Southland district","Professionals","2002",138,"Pro"
"139","  Gore district","Professionals","2002",81,"Pro"
"140","  Invercargill city","Professionals","2002",258,"Pro"
"141","  Overseas","Professionals","2002",6,"Pro"
"142","  In the air - NZ","Professionals","2002",NA,"Pro"
"143","  In NZ waters","Professionals","2002",12,"Pro"
"144","  At sea, not in NZ waters","Professionals","2002",NA,"Pro"
"145","  In the air - overseas","Professionals","2002",NA,"Pro"
"146","  Not specified","Professionals","2002",468,"Pro"
"147","  Far North district","Technicians and associate professionals","2002",123,"Tec"
"148","  Whangarei district","Technicians and associate professionals","2002",270,"Tec"
"149","  Kaipara district","Technicians and associate professionals","2002",30,"Tec"
"150","  Auckland city","Technicians and associate professionals","2002",4530,"Tec"
"151","  Thames-Coromandel district","Technicians and associate professionals","2002",90,"Tec"
"152","  Hauraki district","Technicians and associate professionals","2002",27,"Tec"
"153","  Waikato district","Technicians and associate professionals","2002",171,"Tec"
"154","  Matamata-Piako district","Technicians and associate professionals","2002",63,"Tec"
"155","  Hamilton city","Technicians and associate professionals","2002",732,"Tec"
"156","  Waipa district","Technicians and associate professionals","2002",54,"Tec"
"157","  Otorohanga district","Technicians and associate professionals","2002",15,"Tec"
"158","  South Waikato district","Technicians and associate professionals","2002",75,"Tec"
"159","  Waitomo district","Technicians and associate professionals","2002",15,"Tec"
"160","  Taupo district","Technicians and associate professionals","2002",105,"Tec"
"161","  Western Bay of Plenty district","Technicians and associate professionals","2002",27,"Tec"
"162","  Tauranga city","Technicians and associate professionals","2002",426,"Tec"
"163","  Rotorua district","Technicians and associate professionals","2002",222,"Tec"
"164","  Whakatane district","Technicians and associate professionals","2002",75,"Tec"
"165","  Kawerau district","Technicians and associate professionals","2002",24,"Tec"
"166","  Opotiki district","Technicians and associate professionals","2002",12,"Tec"
"167","  Gisborne district","Technicians and associate professionals","2002",141,"Tec"
"168","  Wairoa district","Technicians and associate professionals","2002",18,"Tec"
"169","  Hastings district","Technicians and associate professionals","2002",240,"Tec"
"170","  Napier city","Technicians and associate professionals","2002",198,"Tec"
"171","  Central Hawke's Bay district","Technicians and associate professionals","2002",42,"Tec"
"172","  New Plymouth district","Technicians and associate professionals","2002",282,"Tec"
"173","  Stratford district","Technicians and associate professionals","2002",33,"Tec"
"174","  South Taranaki district","Technicians and associate professionals","2002",63,"Tec"
"175","  Ruapehu district","Technicians and associate professionals","2002",24,"Tec"
"176","  Whanganui district","Technicians and associate professionals","2002",156,"Tec"
"177","  Rangitikei district","Technicians and associate professionals","2002",9,"Tec"
"178","  Manawatu district","Technicians and associate professionals","2002",99,"Tec"
"179","  Palmerston North city","Technicians and associate professionals","2002",408,"Tec"
"180","  Tararua district","Technicians and associate professionals","2002",24,"Tec"
"181","  Horowhenua district","Technicians and associate professionals","2002",81,"Tec"
"182","  Kapiti Coast district","Technicians and associate professionals","2002",57,"Tec"
"183","  Porirua city","Technicians and associate professionals","2002",108,"Tec"
"184","  Upper Hutt city","Technicians and associate professionals","2002",111,"Tec"
"185","  Lower Hutt city","Technicians and associate professionals","2002",267,"Tec"
"186","  Wellington city","Technicians and associate professionals","2002",969,"Tec"
"187","  Masterton district","Technicians and associate professionals","2002",72,"Tec"
"188","  Carterton district","Technicians and associate professionals","2002",3,"Tec"
"189","  South Wairarapa district","Technicians and associate professionals","2002",12,"Tec"
"190","  Tasman district","Technicians and associate professionals","2002",66,"Tec"
"191","  Nelson city","Technicians and associate professionals","2002",303,"Tec"
"192","  Marlborough district","Technicians and associate professionals","2002",156,"Tec"
"193","  Kaikoura district","Technicians and associate professionals","2002",12,"Tec"
"194","  Buller district","Technicians and associate professionals","2002",24,"Tec"
"195","  Grey district","Technicians and associate professionals","2002",39,"Tec"
"196","  Westland district","Technicians and associate professionals","2002",60,"Tec"
"197","  Hurunui district","Technicians and associate professionals","2002",24,"Tec"
"198","  Waimakariri district","Technicians and associate professionals","2002",45,"Tec"
"199","  Christchurch city","Technicians and associate professionals","2002",1638,"Tec"
"200","  Selwyn district","Technicians and associate professionals","2002",24,"Tec"
"201","  Ashburton district","Technicians and associate professionals","2002",129,"Tec"
"202","  Timaru district","Technicians and associate professionals","2002",192,"Tec"
"203","  Mackenzie district","Technicians and associate professionals","2002",15,"Tec"
"204","  Waimate district","Technicians and associate professionals","2002",3,"Tec"
"205","  Chatham Islands territory","Technicians and associate professionals","2002",3,"Tec"
"206","  Waitaki district","Technicians and associate professionals","2002",33,"Tec"
"207","  Central Otago district","Technicians and associate professionals","2002",75,"Tec"
"208","  Queenstown-Lakes district","Technicians and associate professionals","2002",246,"Tec"
"209","  Dunedin city","Technicians and associate professionals","2002",555,"Tec"
"210","  Clutha district","Technicians and associate professionals","2002",42,"Tec"
"211","  Southland district","Technicians and associate professionals","2002",96,"Tec"
"212","  Gore district","Technicians and associate professionals","2002",51,"Tec"
"213","  Invercargill city","Technicians and associate professionals","2002",222,"Tec"
"214","  Overseas","Technicians and associate professionals","2002",99,"Tec"
"215","  In the air - NZ","Technicians and associate professionals","2002",NA,"Tec"
"216","  In NZ waters","Technicians and associate professionals","2002",12,"Tec"
"217","  At sea, not in NZ waters","Technicians and associate professionals","2002",NA,"Tec"
"218","  In the air - overseas","Technicians and associate professionals","2002",NA,"Tec"
"219","  Not specified","Technicians and associate professionals","2002",339,"Tec"
"220","  Far North district","Clerks","2002",39,"Cle"
"221","  Whangarei district","Clerks","2002",147,"Cle"
"222","  Kaipara district","Clerks","2002",9,"Cle"
"223","  Auckland city","Clerks","2002",3000,"Cle"
"224","  Thames-Coromandel district","Clerks","2002",33,"Cle"
"225","  Hauraki district","Clerks","2002",12,"Cle"
"226","  Waikato district","Clerks","2002",45,"Cle"
"227","  Matamata-Piako district","Clerks","2002",24,"Cle"
"228","  Hamilton city","Clerks","2002",336,"Cle"
"229","  Waipa district","Clerks","2002",24,"Cle"
"230","  Otorohanga district","Clerks","2002",9,"Cle"
"231","  South Waikato district","Clerks","2002",24,"Cle"
"232","  Waitomo district","Clerks","2002",3,"Cle"
"233","  Taupo district","Clerks","2002",42,"Cle"
"234","  Western Bay of Plenty district","Clerks","2002",12,"Cle"
"235","  Tauranga city","Clerks","2002",252,"Cle"
"236","  Rotorua district","Clerks","2002",114,"Cle"
"237","  Whakatane district","Clerks","2002",42,"Cle"
"238","  Kawerau district","Clerks","2002",15,"Cle"
"239","  Opotiki district","Clerks","2002",6,"Cle"
"240","  Gisborne district","Clerks","2002",60,"Cle"
"241","  Wairoa district","Clerks","2002",3,"Cle"
"242","  Hastings district","Clerks","2002",123,"Cle"
"243","  Napier city","Clerks","2002",111,"Cle"
"244","  Central Hawke's Bay district","Clerks","2002",12,"Cle"
"245","  New Plymouth district","Clerks","2002",129,"Cle"
"246","  Stratford district","Clerks","2002",12,"Cle"
"247","  South Taranaki district","Clerks","2002",24,"Cle"
"248","  Ruapehu district","Clerks","2002",6,"Cle"
"249","  Whanganui district","Clerks","2002",81,"Cle"
"250","  Rangitikei district","Clerks","2002",NA,"Cle"
"251","  Manawatu district","Clerks","2002",45,"Cle"
"252","  Palmerston North city","Clerks","2002",234,"Cle"
"253","  Tararua district","Clerks","2002",3,"Cle"
"254","  Horowhenua district","Clerks","2002",33,"Cle"
"255","  Kapiti Coast district","Clerks","2002",18,"Cle"
"256","  Porirua city","Clerks","2002",54,"Cle"
"257","  Upper Hutt city","Clerks","2002",78,"Cle"
"258","  Lower Hutt city","Clerks","2002",171,"Cle"
"259","  Wellington city","Clerks","2002",567,"Cle"
"260","  Masterton district","Clerks","2002",36,"Cle"
"261","  Carterton district","Clerks","2002",NA,"Cle"
"262","  South Wairarapa district","Clerks","2002",NA,"Cle"
"263","  Tasman district","Clerks","2002",18,"Cle"
"264","  Nelson city","Clerks","2002",132,"Cle"
"265","  Marlborough district","Clerks","2002",69,"Cle"
"266","  Kaikoura district","Clerks","2002",NA,"Cle"
"267","  Buller district","Clerks","2002",6,"Cle"
"268","  Grey district","Clerks","2002",21,"Cle"
"269","  Westland district","Clerks","2002",9,"Cle"
"270","  Hurunui district","Clerks","2002",9,"Cle"
"271","  Waimakariri district","Clerks","2002",15,"Cle"
"272","  Christchurch city","Clerks","2002",1062,"Cle"
"273","  Selwyn district","Clerks","2002",12,"Cle"
"274","  Ashburton district","Clerks","2002",33,"Cle"
"275","  Timaru district","Clerks","2002",48,"Cle"
"276","  Mackenzie district","Clerks","2002",NA,"Cle"
"277","  Waimate district","Clerks","2002",NA,"Cle"
"278","  Chatham Islands territory","Clerks","2002",NA,"Cle"
"279","  Waitaki district","Clerks","2002",21,"Cle"
"280","  Central Otago district","Clerks","2002",9,"Cle"
"281","  Queenstown-Lakes district","Clerks","2002",36,"Cle"
"282","  Dunedin city","Clerks","2002",309,"Cle"
"283","  Clutha district","Clerks","2002",12,"Cle"
"284","  Southland district","Clerks","2002",24,"Cle"
"285","  Gore district","Clerks","2002",12,"Cle"
"286","  Invercargill city","Clerks","2002",117,"Cle"
"287","  Overseas","Clerks","2002",NA,"Cle"
"288","  In the air - NZ","Clerks","2002",NA,"Cle"
"289","  In NZ waters","Clerks","2002",NA,"Cle"
"290","  At sea, not in NZ waters","Clerks","2002",NA,"Cle"
"291","  In the air - overseas","Clerks","2002",NA,"Cle"
"292","  Not specified","Clerks","2002",177,"Cle"
"293","  Far North district","Service and sales workers","2002",255,"Ser"
"294","  Whangarei district","Service and sales workers","2002",456,"Ser"
"295","  Kaipara district","Service and sales workers","2002",84,"Ser"
"296","  Auckland city","Service and sales workers","2002",6861,"Ser"
"297","  Thames-Coromandel district","Service and sales workers","2002",177,"Ser"
"298","  Hauraki district","Service and sales workers","2002",66,"Ser"
"299","  Waikato district","Service and sales workers","2002",183,"Ser"
"300","  Matamata-Piako district","Service and sales workers","2002",81,"Ser"
"301","  Hamilton city","Service and sales workers","2002",987,"Ser"
"302","  Waipa district","Service and sales workers","2002",102,"Ser"
"303","  Otorohanga district","Service and sales workers","2002",27,"Ser"
"304","  South Waikato district","Service and sales workers","2002",111,"Ser"
"305","  Waitomo district","Service and sales workers","2002",30,"Ser"
"306","  Taupo district","Service and sales workers","2002",285,"Ser"
"307","  Western Bay of Plenty district","Service and sales workers","2002",51,"Ser"
"308","  Tauranga city","Service and sales workers","2002",858,"Ser"
"309","  Rotorua district","Service and sales workers","2002",567,"Ser"
"310","  Whakatane district","Service and sales workers","2002",159,"Ser"
"311","  Kawerau district","Service and sales workers","2002",24,"Ser"
"312","  Opotiki district","Service and sales workers","2002",24,"Ser"
"313","  Gisborne district","Service and sales workers","2002",228,"Ser"
"314","  Wairoa district","Service and sales workers","2002",15,"Ser"
"315","  Hastings district","Service and sales workers","2002",519,"Ser"
"316","  Napier city","Service and sales workers","2002",468,"Ser"
"317","  Central Hawke's Bay district","Service and sales workers","2002",54,"Ser"
"318","  New Plymouth district","Service and sales workers","2002",492,"Ser"
"319","  Stratford district","Service and sales workers","2002",42,"Ser"
"320","  South Taranaki district","Service and sales workers","2002",102,"Ser"
"321","  Ruapehu district","Service and sales workers","2002",204,"Ser"
"322","  Whanganui district","Service and sales workers","2002",357,"Ser"
"323","  Rangitikei district","Service and sales workers","2002",15,"Ser"
"324","  Manawatu district","Service and sales workers","2002",513,"Ser"
"325","  Palmerston North city","Service and sales workers","2002",1047,"Ser"
"326","  Tararua district","Service and sales workers","2002",39,"Ser"
"327","  Horowhenua district","Service and sales workers","2002",135,"Ser"
"328","  Kapiti Coast district","Service and sales workers","2002",150,"Ser"
"329","  Porirua city","Service and sales workers","2002",456,"Ser"
"330","  Upper Hutt city","Service and sales workers","2002",357,"Ser"
"331","  Lower Hutt city","Service and sales workers","2002",393,"Ser"
"332","  Wellington city","Service and sales workers","2002",1353,"Ser"
"333","  Masterton district","Service and sales workers","2002",195,"Ser"
"334","  Carterton district","Service and sales workers","2002",27,"Ser"
"335","  South Wairarapa district","Service and sales workers","2002",18,"Ser"
"336","  Tasman district","Service and sales workers","2002",81,"Ser"
"337","  Nelson city","Service and sales workers","2002",522,"Ser"
"338","  Marlborough district","Service and sales workers","2002",411,"Ser"
"339","  Kaikoura district","Service and sales workers","2002",30,"Ser"
"340","  Buller district","Service and sales workers","2002",54,"Ser"
"341","  Grey district","Service and sales workers","2002",72,"Ser"
"342","  Westland district","Service and sales workers","2002",105,"Ser"
"343","  Hurunui district","Service and sales workers","2002",39,"Ser"
"344","  Waimakariri district","Service and sales workers","2002",78,"Ser"
"345","  Christchurch city","Service and sales workers","2002",3324,"Ser"
"346","  Selwyn district","Service and sales workers","2002",39,"Ser"
"347","  Ashburton district","Service and sales workers","2002",129,"Ser"
"348","  Timaru district","Service and sales workers","2002",333,"Ser"
"349","  Mackenzie district","Service and sales workers","2002",24,"Ser"
"350","  Waimate district","Service and sales workers","2002",21,"Ser"
"351","  Chatham Islands territory","Service and sales workers","2002",NA,"Ser"
"352","  Waitaki district","Service and sales workers","2002",90,"Ser"
"353","  Central Otago district","Service and sales workers","2002",99,"Ser"
"354","  Queenstown-Lakes district","Service and sales workers","2002",435,"Ser"
"355","  Dunedin city","Service and sales workers","2002",858,"Ser"
"356","  Clutha district","Service and sales workers","2002",54,"Ser"
"357","  Southland district","Service and sales workers","2002",132,"Ser"
"358","  Gore district","Service and sales workers","2002",114,"Ser"
"359","  Invercargill city","Service and sales workers","2002",393,"Ser"
"360","  Overseas","Service and sales workers","2002",153,"Ser"
"361","  In the air - NZ","Service and sales workers","2002",NA,"Ser"
"362","  In NZ waters","Service and sales workers","2002",15,"Ser"
"363","  At sea, not in NZ waters","Service and sales workers","2002",NA,"Ser"
"364","  In the air - overseas","Service and sales workers","2002",NA,"Ser"
"365","  Not specified","Service and sales workers","2002",462,"Ser"
"366","  Far North district","Agriculture and fishery workers","2002",1086,"Agr"
"367","  Whangarei district","Agriculture and fishery workers","2002",879,"Agr"
"368","  Kaipara district","Agriculture and fishery workers","2002",609,"Agr"
"369","  Auckland city","Agriculture and fishery workers","2002",3114,"Agr"
"370","  Thames-Coromandel district","Agriculture and fishery workers","2002",354,"Agr"
"371","  Hauraki district","Agriculture and fishery workers","2002",375,"Agr"
"372","  Waikato district","Agriculture and fishery workers","2002",1659,"Agr"
"373","  Matamata-Piako district","Agriculture and fishery workers","2002",660,"Agr"
"374","  Hamilton city","Agriculture and fishery workers","2002",747,"Agr"
"375","  Waipa district","Agriculture and fishery workers","2002",543,"Agr"
"376","  Otorohanga district","Agriculture and fishery workers","2002",306,"Agr"
"377","  South Waikato district","Agriculture and fishery workers","2002",879,"Agr"
"378","  Waitomo district","Agriculture and fishery workers","2002",210,"Agr"
"379","  Taupo district","Agriculture and fishery workers","2002",471,"Agr"
"380","  Western Bay of Plenty district","Agriculture and fishery workers","2002",285,"Agr"
"381","  Tauranga city","Agriculture and fishery workers","2002",1119,"Agr"
"382","  Rotorua district","Agriculture and fishery workers","2002",696,"Agr"
"383","  Whakatane district","Agriculture and fishery workers","2002",420,"Agr"
"384","  Kawerau district","Agriculture and fishery workers","2002",45,"Agr"
"385","  Opotiki district","Agriculture and fishery workers","2002",192,"Agr"
"386","  Gisborne district","Agriculture and fishery workers","2002",1167,"Agr"
"387","  Wairoa district","Agriculture and fishery workers","2002",138,"Agr"
"388","  Hastings district","Agriculture and fishery workers","2002",1110,"Agr"
"389","  Napier city","Agriculture and fishery workers","2002",573,"Agr"
"390","  Central Hawke's Bay district","Agriculture and fishery workers","2002",363,"Agr"
"391","  New Plymouth district","Agriculture and fishery workers","2002",972,"Agr"
"392","  Stratford district","Agriculture and fishery workers","2002",366,"Agr"
"393","  South Taranaki district","Agriculture and fishery workers","2002",705,"Agr"
"394","  Ruapehu district","Agriculture and fishery workers","2002",192,"Agr"
"395","  Whanganui district","Agriculture and fishery workers","2002",771,"Agr"
"396","  Rangitikei district","Agriculture and fishery workers","2002",153,"Agr"
"397","  Manawatu district","Agriculture and fishery workers","2002",249,"Agr"
"398","  Palmerston North city","Agriculture and fishery workers","2002",1050,"Agr"
"399","  Tararua district","Agriculture and fishery workers","2002",522,"Agr"
"400","  Horowhenua district","Agriculture and fishery workers","2002",327,"Agr"
"401","  Kapiti Coast district","Agriculture and fishery workers","2002",99,"Agr"
"402","  Porirua city","Agriculture and fishery workers","2002",36,"Agr"
"403","  Upper Hutt city","Agriculture and fishery workers","2002",66,"Agr"
"404","  Lower Hutt city","Agriculture and fishery workers","2002",87,"Agr"
"405","  Wellington city","Agriculture and fishery workers","2002",240,"Agr"
"406","  Masterton district","Agriculture and fishery workers","2002",603,"Agr"
"407","  Carterton district","Agriculture and fishery workers","2002",129,"Agr"
"408","  South Wairarapa district","Agriculture and fishery workers","2002",141,"Agr"
"409","  Tasman district","Agriculture and fishery workers","2002",633,"Agr"
"410","  Nelson city","Agriculture and fishery workers","2002",528,"Agr"
"411","  Marlborough district","Agriculture and fishery workers","2002",987,"Agr"
"412","  Kaikoura district","Agriculture and fishery workers","2002",102,"Agr"
"413","  Buller district","Agriculture and fishery workers","2002",171,"Agr"
"414","  Grey district","Agriculture and fishery workers","2002",105,"Agr"
"415","  Westland district","Agriculture and fishery workers","2002",252,"Agr"
"416","  Hurunui district","Agriculture and fishery workers","2002",597,"Agr"
"417","  Waimakariri district","Agriculture and fishery workers","2002",405,"Agr"
"418","  Christchurch city","Agriculture and fishery workers","2002",1497,"Agr"
"419","  Selwyn district","Agriculture and fishery workers","2002",465,"Agr"
"420","  Ashburton district","Agriculture and fishery workers","2002",1044,"Agr"
"421","  Timaru district","Agriculture and fishery workers","2002",801,"Agr"
"422","  Mackenzie district","Agriculture and fishery workers","2002",192,"Agr"
"423","  Waimate district","Agriculture and fishery workers","2002",249,"Agr"
"424","  Chatham Islands territory","Agriculture and fishery workers","2002",39,"Agr"
"425","  Waitaki district","Agriculture and fishery workers","2002",462,"Agr"
"426","  Central Otago district","Agriculture and fishery workers","2002",639,"Agr"
"427","  Queenstown-Lakes district","Agriculture and fishery workers","2002",231,"Agr"
"428","  Dunedin city","Agriculture and fishery workers","2002",561,"Agr"
